Year,Fault Eviction Notices,No Fault Eviction Notices
1997,1104,1457
1998,1112,1818
1999,1080,1552
2000,976,1598
2001,908,1275
2002,708,952
2003,791,731
2004,613,828
2005,780,760
2006,806,667
2007,936,546
2008,955,458
2009,919,255
2010,963,397
2011,1005,290
2012,1006,625
2013,1146,725
2014,1404,578
2015,1163,624
